N;Name;Work;Scopus;Wos
111;Гранкина Виктория Леонидовна;Менеджмент (Доцент, к.н.), 1;56682811700;AAE-1659-2022
112;Графкина Марина Владимировна;Экологическая безопасность технических систем (Профессор, д.н.), 0.75;56447118400;
113;Гридчина Александра Владимировна;Менеджмент (Профессор, д.н.), 0.5;57190413370;AAF-4640-2020
114;Гришин Александр Игоревич;Промышленная теплоэнергетика (Старший преподаватель), 0.25;;ADV-5548-2022
115;Громовых Пётр Сергеевич;Процессы и аппараты химической технологии (Заведующий кафедрой, к.н.), 1;16024700500;G-4813-2019
116;Громовых Татьяна Ильинична;ХимБиотех (Профессор, д.н.), 0.5;6506225279;HKV-2269-2023
117;Груненков Николай Валерьевич;Автоматика и управление (Старший преподаватель), 0.97;57217211166;AAO-8276-2021
118;Губанова Наталья Владимировна;Экономика и организация (Доцент, к.н.), 0.5;56178383000;N-7610-2015
119;Давыденко Людмила Васильевна;Материаловедение (Доцент, к.н.), 0.75;6603086715;AAH-6709-2020
120;Давыдова Татьяна Тимофеевна;Русский язык и история литературы (Профессор, д.н.), 1;;AGI-3527-2022
121;Дайбаге Даниил Саюзович;Математика (Ассистент), 0.35;57673090900;AHD-0951-2022
122;Даньшина Марина Владимировна;Инфокогнитивные технологии (Старший преподаватель), 0.5;56441738400;M-4989-2017
123;Дебелов Владимир Валентинович;СМАРТ-технологии (Доцент, к.н.), 0.25;57209468691;
124;Дедов Александр Васильевич;Инновационные материалы принтмедиаиндустрии (Профессор, д.н.), 0.5;7005177190;
125;Дементьев Александр Александрович;Энергоустановки для транспорта и малой энергетики (Доцент), 1;57201779971;
126;Демидов Дмитрий Григорьевич;Факультет информационных технологий (Декан факультета, к.н.), 1;57216153901;M-3766-2015
127;Дербасова Евгения Михайловна;Промышленное и гражданское строительство (Доцент, к.н.), 0.25;57212388672;
128;Деревяшкин Игорь Владимирович;Техника и технология горного и нефтегазового производства (Профессор, д.н.), 0.75;6504744976;V-8948-2017
129;Джунковский Андрей Владимирович;СМАРТ-технологии (Доцент, к.н.), 1;35104807500;F-8233-2014
130;Дмитриева Людмила Александровна;Техническая механика и компьютерное моделирование (Старший преподаватель), 0.5;57936850000;
131;Дмитриева Ольга Владимировна;Экономика и организация (Доцент, к.н.), 0.25;57205199789;M-9023-2015
132;Добрица Вячеслав Порфирьевич;Информационная безопасность (Профессор, д.н.), 0.5;0000-0001-7533-3684;S-7191-2016
